date,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes,start_time
1996-11-01,Chicago Bulls,107,Boston Celtics,98,Box Score,,18624,,NA
1996-11-01,Dallas Mavericks,92,Denver Nuggets,91,Box Score,,16104,,NA
1996-11-01,Indiana Pacers,89,Detroit Pistons,95,Box Score,,21454,,NA
1996-11-01,Los Angeles Clippers,97,Golden State Warriors,85,Box Score,,15593,,NA
1996-11-01,Sacramento Kings,85,Houston Rockets,96,Box Score,,16285,,NA
1996-11-01,Phoenix Suns,82,Los Angeles Lakers,96,Box Score,,17505,,NA
1996-11-01,Atlanta Hawks,81,Miami Heat,94,Box Score,,15113,,NA
1996-11-01,San Antonio Spurs,78,Minnesota Timberwolves,82,Box Score,,18109,,NA
1996-11-01,Cleveland Cavaliers,90,New Jersey Nets,77,Box Score,,18316,,NA
1996-11-01,Washington Bullets,96,Orlando Magic,92,Box Score,,17248,,NA
1996-11-01,Milwaukee Bucks,111,Philadelphia 76ers,103,Box Score,,20444,,NA
1996-11-01,New York Knicks,107,Toronto Raptors,99,Box Score,,28457,,NA
1996-11-01,Seattle SuperSonics,91,Utah Jazz,99,Box Score,,19911,,NA
1996-11-01,Portland Trail Blazers,114,Vancouver Grizzlies,85,Box Score,,19193,,NA
1996-11-02,Detroit Pistons,90,Atlanta Hawks,78,Box Score,,16378,,NA
1996-11-02,Toronto Raptors,98,Charlotte Hornets,109,Box Score,,24042,,NA
1996-11-02,Philadelphia 76ers,86,Chicago Bulls,115,Box Score,,24040,,NA
1996-11-02,Sacramento Kings,107,Dallas Mavericks,94,Box Score,,18042,,NA
1996-11-02,Miami Heat,97,Indiana Pacers,95,Box Score,,15948,,NA
1996-11-02,Utah Jazz,95,Los Angeles Clippers,90,Box Score,,13041,,NA
1996-11-02,Boston Celtics,102,Milwaukee Bucks,124,Box Score,,17275,,NA
1996-11-02,Houston Rockets,110,Phoenix Suns,95,Box Score,,19023,,NA
1996-11-02,Portland Trail Blazers,93,Seattle SuperSonics,104,Box Score,,17072,,NA
1996-11-02,Cleveland Cavaliers,98,Washington Bullets,96,Box Score,OT,18756,,NA
